긍부정 단어,긍부정 구분
불안,부정
스트레스,부정
슬픔,부정
우울하다,부정
분노,부정
행복,긍정
사랑,긍정
무기력,부정
고통,부정
힘들다,부정
부정적,부정
짜증,부정
장애,부정
고민,부정
절망,부정
긍정적,긍정
걱정,부정
도움,긍정
외로움,부정
기쁨,긍정
희망,긍정
후회,부정
공감,긍정
심하다,부정
불행,부정
피로,부정
무너지다,부정
좌절,부정
공포,부정
나아지다,긍정
불안감,부정
웃다,긍정
울다,부정
괜찮다,긍정
아픔,부정
긴장,부정
싫다,부정
죄책감,부정
슬프다,부정
해결하다,긍정
무기력하다,부정
무섭다,부정
좋지않다,부정
지치다,부정
웃음,긍정
좋다,긍정
긍정,긍정
후유증,부정
좋은사람,긍정
충격,중립
사랑하다,긍정
노력하다,긍정
효과적,긍정
아프다,부정
위험,부정
불량,부정
다행,긍정
증오,부정
어려움 겪다,부정
갈등,부정
여유,긍정
최선,긍정
실패,부정
미련,부정
열정,긍정
이기적,부정
정상적,긍정
즐거움,긍정
충동적,중립
즐기다,긍정
빠져들다,긍정
비극,부정
싫어하다,부정
실망,부정
결핍,부정
진심,긍정
질투,부정
현타,부정
찌들다,부정
상쾌하다,긍정
추하다,부정
불안하다,부정
쓸쓸하다,부정
혐오,부정
성공,긍정
기분전환,긍정
짜증나다,부정
괴물,부정
위로하다,긍정
기분 좋다,긍정
나쁜 생각,부정
적극적,긍정
괜찮지않다,부정
소용없다,부정
외롭다,부정
낫다,긍정
행복하다,긍정
상실,부정
답답하다,부정
지겹다,부정
근심,부정
욕,부정
낭만,긍정
어려운 일,부정
다행이다,긍정
토하다,부정
상처 받다,부정
나쁘다,부정
기분 나아지다,긍정
기분 좋지않다,부정
감성적,긍정
이성적,중립
취약하다,부정
덥다,부정
밝다,긍정
평화,긍정
화려하다,긍정
예민하다,중립
스트레스 받다,부정
잘지내다,긍정
슬퍼하다,부정
악영향,부정
저리다,부정
잘알다,긍정
해소하다,긍정
도움되다,긍정
소중한사람,긍정
위로 받다,긍정
배려,긍정
한심하다,부정
나태,부정
가슴 두근거리다,긍정
최악,부정
괴롭다,부정
애정,긍정
혼란,부정
규칙적,중립
엉망진창,부정
기력 없다,부정
번지다,부정
기대,긍정
어렵다,부정
잘모르다,부정
도움 주다,긍정
힘 빠지다,부정
외면하다,부정
성취,긍정
큰 문제,부정
좀먹다,부정
속상하다,부정
힘내다,긍정
틈 없다,긍정
바닥 치다,부정
숨 막히다,부정
밝은 모습,긍정
비참하다,부정
믿음,긍정
건강한 사람,긍정
아름다움,긍정
정점 찍다,긍정
엉망,부정
가짜,부정
낫지않다,부정
심심하다,부정
지배 받다,부정
즐거운 일,긍정
과도한 스트레스,부정
보상,긍정
망가지다,부정
공허하다,부정
심각하다,부정
부담,부정
피해,부정
오해,부정
소망,긍정
독소,부정
불안 느끼다,부정
배신,부정
상냥하지않다,부정
행복한삶,긍정
행복한 날,긍정
쉽지않다,부정
행복한 일,긍정
꿈꾸다,긍정
기운 없다,부정
서럽다,부정
밉다,부정
억울하다,부정
두렵다,부정
멋진 사람,긍정
미워하다,부정
게으름,부정
의욕 없다,부정
손상,부정
불만,부정
비정상적,부정
경제적,긍정
열정적,긍정
원하다,긍정
의심,부정
망하다,부정
수치심,부정
성공하다,긍정
미안하다,부정
응원,긍정
차별,부정
처지다,부정
성장하다,긍정
지나치다,부정
힘 없다,부정
바라다,중립
잊어버리다,중립
고맙다,긍정
믿다,긍정
나쁜 일,부정
필요한 사람,긍정
잘못하다,부정
